"","Name","Platform","Year_of_Release","Genre","Publisher","EU_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Rating","Name_imp","Platform_imp","Year_of_Release_imp","Genre_imp","Publisher_imp","EU_Sales_imp","Global_Sales_imp","Critic_Score_imp","Critic_Count_imp","User_Score_imp","User_Count_imp","Rating_imp"
"13192","Kamiwaza","PS2",2006,"Action","Acquire",0,0.05,64,10,7.4,9,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13193","Bejeweled Twist","PC",2008,"Puzzle","PopCap Games",0.04,0.05,78,12,7.3,11,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13194","Arcana Heart 3","X360",2011,"Fighting","PQube",0.02,0.05,68,13,6.75,10,"T",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"13195","Rave Master","GC",2002,"Fighting","Konami Digital Entertainment",0,0.05,60,15,6.3,4,"T",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13196","GRID","DS",2008,"Racing","Codemasters",0,0.05,79,19,8.1,15,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13197","Grand Ages: Medieval","PC",2015,"Strategy","Kalypso Media",0.05,0.05,63,11,5.4,52,"T",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13198","Kinnikuman Muscle Grand Prix Max","PS2",2006,"Fighting","Konami Digital Entertainment",0,0.05,64,10,7.4,9,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13199","Suzuki Super-Bikes II: Riding Challenge","DS",2008,"Racing","Valcon Games",0,0.05,51,8,5.95,6,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"13200","Ivy the Kiwi?","DS",2010,"Puzzle","Rising Star Games",0,0.05,69,20,6.3,4,"E",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"13201","Medal of Honor: European Assault (weekly JP sales)","PS2",2005,"Shooter","Electronic Arts",0,0.05,66,13,6.9,9,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
